# s W_0 W_1 W_2 W_3 W_4 W_5 W_6 W_7 W_8
6.839570 1.006538 0.006906 0.024335 0.000304 -0.010846 0.000203 -0.097878 -0.002522 0.112229
6.998880 1.006501 0.007103 0.003354 -0.000051 0.023461 -0.000910 0.245463 0.002104 0.170595
7.161910 1.002801 0.007254 0.022808 0.000029 0.026668 -0.000230 0.139914 0.004203 -0.193762
7.328730 1.005963 0.007413 0.014282 0.000296 -0.032587 -0.001753 0.054420 0.003157 -0.195374
7.499440 1.000978 0.007627 -0.010593 -0.000353 0.057648 0.002787 -0.030443 -0.001993 0.056717
7.674120 0.993658 0.007718 -0.002865 -0.000131 0.027734 0.000084 0.118403 0.001421 0.031225
7.852880 0.976273 0.007763 0.000507 0.000036 -0.003454 -0.001308 0.140928 0.002288 -0.002604
8.035790 0.997293 0.008121 0.015402 0.000135 -0.002419 0.001617 -0.237431 -0.006666 0.221512
8.222970 0.992484 0.008260 0.005114 0.000043 0.007481 -0.001091 0.157292 -0.000764 0.259320
8.414510 0.981094 0.008318 0.019918 0.000362 -0.028112 -0.001644 0.088083 -0.001898 0.216802
8.610510 1.006701 0.008726 0.018571 0.000432 -0.014091 -0.000962 -0.028386 -0.001746 0.120036
8.811070 1.003394 0.008977 -0.012169 -0.000180 0.016851 0.001062 -0.006602 -0.001760 0.063945
9.016310 0.993516 0.009032 0.032070 0.000217 0.027491 0.001190 0.039015 0.000677 0.004258
9.226330 0.983006 0.009141 0.015392 0.000245 -0.006728 -0.000115 0.013177 0.001760 -0.127368
9.441230 0.998317 0.009508 0.009000 -0.000068 0.026074 0.001092 0.053099 -0.001557 0.117254
9.661150 0.991291 0.009705 0.001344 -0.000115 0.025906 0.001585 -0.015965 -0.001523 0.044274
9.886190 0.996657 0.009963 -0.000383 0.000051 -0.007405 -0.001049 0.033090 0.000600 0.043536
10.116500 0.997607 0.010209 0.000263 -0.000063 0.002293 -0.000096 0.042454 0.002920 -0.117049
10.352100 0.988879 0.010338 0.005978 0.000131 0.001148 -0.001179 0.073638 0.003047 -0.051098
10.593200 0.981875 0.010538 -0.006513 -0.000403 0.036843 0.001910 0.035858 0.000252 0.019672
10.840000 0.978304 0.010730 -0.002728 0.000195 -0.031649 -0.001675 -0.020625 0.000838 -0.066308
11.092500 0.992456 0.011146 0.000588 -0.000169 0.023035 0.000487 0.046304 0.003160 -0.081969
11.350900 0.970000 0.011114 0.015852 -0.000085 0.033851 0.001530 0.080671 0.002421 -0.055712
11.615300 0.979361 0.011530 -0.012263 0.000040 -0.018025 -0.001385 0.002007 -0.000740 0.069937
11.885800 0.979229 0.011820 -0.018476 -0.000431 0.035312 0.001461 0.044562 0.002415 -0.070503
12.162700 0.974336 0.012017 -0.012261 -0.000176 0.003485 -0.002248 0.180871 0.004741 -0.001880
12.446000 0.979549 0.012320 0.003415 0.000095 0.004169 -0.001050 0.102968 -0.001521 0.193599
12.735900 0.978608 0.012597 0.008805 0.000151 -0.000245 0.000022 0.019259 -0.000971 0.013045
13.032500 0.985139 0.012932 0.018392 0.000380 0.005298 -0.000107 0.026492 -0.000977 0.047912
13.336100 0.983565 0.013265 0.009392 -0.000034 0.016351 0.000547 0.052822 0.001755 -0.001949
13.646700 0.976586 0.013506 -0.000420 -0.000182 0.016449 0.001857 -0.012063 0.000663 -0.054309
13.964600 0.981051 0.013832 0.014039 0.000152 0.013539 0.001040 -0.000126 -0.000247 0.030221
14.289900 0.970160 0.014010 0.008710 0.000108 0.010269 0.000576 0.019349 -0.000695 0.067801
14.622700 0.973962 0.014396 0.008963 0.000080 0.012971 0.001397 -0.031818 -0.001280 0.020189
14.963300 0.974201 0.014720 0.011306 0.000240 0.005789 0.000164 0.013302 -0.001078 0.064528
