# s W_0 W_1 W_2 W_3 W_4
0.870964 0.999908 0.000659 -0.000027 -0.000000 0.000000
0.881049 0.999908 0.000667 -0.000028 -0.000000 0.000000
0.891251 0.999904 0.000674 -0.000028 -0.000000 0.000000
0.901571 0.999904 0.000682 -0.000029 -0.000000 0.000000
0.912011 0.999899 0.000690 -0.000030 -0.000000 0.000000
0.922571 0.999899 0.000698 -0.000031 -0.000000 0.000000
0.933254 0.999895 0.000706 -0.000031 -0.000000 0.000000
0.944061 0.999895 0.000714 -0.000032 -0.000000 0.000000
0.954993 0.999890 0.000722 -0.000033 -0.000000 0.000000
0.966051 0.999890 0.000731 -0.000033 -0.000000 0.000000
0.977237 0.999885 0.000739 -0.000034 -0.000000 0.000000
0.988553 0.999885 0.000748 -0.000035 -0.000000 0.000000
1.000000 0.999881 0.000756 -0.000036 -0.000000 0.000000
1.011580 0.999876 0.000765 -0.000037 -0.000000 0.000000
1.023290 0.999876 0.000774 -0.000038 -0.000000 0.000000
1.035140 0.999872 0.000783 -0.000038 -0.000000 0.000000
1.047130 0.999867 0.000792 -0.000039 -0.000000 0.000000
1.059250 0.999867 0.000801 -0.000040 -0.000000 0.000000
1.071520 0.999863 0.000811 -0.000041 -0.000000 0.000000
1.083930 0.999858 0.000820 -0.000042 -0.000000 0.000000
1.096480 0.999858 0.000829 -0.000043 -0.000000 0.000000
1.109170 0.999853 0.000839 -0.000044 -0.000000 0.000000
1.122020 0.999849 0.000849 -0.000045 -0.000000 0.000000
1.135010 0.999844 0.000859 -0.000046 -0.000000 0.000000
1.148150 0.999844 0.000869 -0.000047 -0.000000 0.000000
1.161450 0.999840 0.000879 -0.000048 -0.000000 0.000000
1.174900 0.999835 0.000889 -0.000050 -0.000000 0.000000
1.188500 0.999830 0.000899 -0.000051 -0.000000 0.000000
1.202260 0.999826 0.000909 -0.000052 -0.000000 0.000000
1.216190 0.999821 0.000920 -0.000053 -0.000000 0.000000
1.230270 0.999817 0.000931 -0.000054 -0.000000 0.000000
1.244510 0.999817 0.000941 -0.000056 -0.000000 0.000000
1.258930 0.999812 0.000952 -0.000057 -0.000000 0.000000
1.273500 0.999808 0.000963 -0.000058 -0.000000 0.000000
1.288250 0.999803 0.000974 -0.000060 -0.000000 0.000000
1.303170 0.999798 0.000986 -0.000061 -0.000000 0.000000
1.318260 0.999794 0.000997 -0.000062 -0.000000 0.000000
1.333520 0.999785 0.001009 -0.000064 -0.000000 0.000000
1.348960 0.999780 0.001020 -0.000065 -0.000000 0.000000
1.364580 0.999775 0.001032 -0.000067 -0.000000 0.000000
1.380380 0.999771 0.001044 -0.000068 -0.000000 0.000000
1.396370 0.999766 0.001056 -0.000070 -0.000000 0.000000
1.412540 0.999762 0.001068 -0.000072 -0.000000 0.000000
1.428890 0.999757 0.001081 -0.000073 -0.000000 0.000000
1.445440 0.999748 0.001093 -0.000075 -0.000000 0.000000
1.462180 0.999743 0.001106 -0.000077 -0.000000 0.000000
1.479110 0.999739 0.001119 -0.000078 -0.000000 0.000000
1.496240 0.999730 0.001132 -0.000080 -0.000000 0.000000
1.513560 0.999725 0.001145 -0.000082 -0.000000 0.000000
1.531090 0.999720 0.001158 -0.000084 -0.000000 0.000000
1.548820 0.999711 0.001172 -0.000086 -0.000000 0.000000
1.566750 0.999707 0.001185 -0.000088 -0.000000 0.000000
1.584890 0.999698 0.001199 -0.000090 -0.000000 0.000000
1.603250 0.999693 0.001213 -0.000092 -0.000000 0.000000
1.621810 0.999684 0.001227 -0.000094 -0.000000 0.000000
1.640590 0.999675 0.001241 -0.000096 -0.000000 0.000000
1.659590 0.999670 0.001255 -0.000099 -0.000000 0.000000
1.678800 0.999661 0.001270 -0.000101 -0.000000 0.000000
1.698240 0.999652 0.001285 -0.000103 -0.000000 0.000000
1.717910 0.999647 0.001299 -0.000106 -0.000000 0.000000
1.737800 0.999638 0.001314 -0.000108 -0.000000 0.000000
1.757920 0.999629 0.001330 -0.000111 -0.000000 0.000000
1.778280 0.999620 0.001345 -0.000113 -0.000000 0.000000
1.798870 0.999611 0.001361 -0.000116 -0.000000 0.000000
1.819700 0.999601 0.001376 -0.000119 -0.000000 0.000000
1.840770 0.999592 0.001392 -0.000121 -0.000000 0.000000
1.862090 0.999583 0.001408 -0.000124 -0.000000 0.000001
1.883650 0.999574 0.001425 -0.000127 -0.000000 0.000001
1.905460 0.999565 0.001441 -0.000130 -0.000000 0.000001
1.927520 0.999556 0.001458 -0.000133 -0.000000 0.000001
1.949840 0.999542 0.001475 -0.000136 -0.000000 0.000001
1.972420 0.999533 0.001492 -0.000139 -0.000000 0.000001
1.995260 0.999523 0.001509 -0.000143 -0.000000 0.000001
2.018370 0.999510 0.001527 -0.000146 -0.000000 0.000001
2.041740 0.999501 0.001544 -0.000149 -0.000000 0.000001
2.065380 0.999487 0.001562 -0.000153 -0.000000 0.000001
2.089300 0.999478 0.001580 -0.000156 -0.000000 0.000001
2.113490 0.999464 0.001598 -0.000160 -0.000000 0.000001
2.137960 0.999450 0.001617 -0.000164 -0.000000 0.000001
2.162720 0.999436 0.001636 -0.000167 -0.000000 0.000001
2.187760 0.999427 0.001655 -0.000171 -0.000000 0.000001
2.213090 0.999413 0.001674 -0.000175 -0.000000 0.000001
2.238720 0.999400 0.001693 -0.000179 -0.000000 0.000001
2.264640 0.999386 0.001713 -0.000184 -0.000000 0.000001
2.290870 0.999368 0.001732 -0.000188 -0.000000 0.000001
2.317390 0.999354 0.001752 -0.000192 -0.000000 0.000001
2.344230 0.999340 0.001773 -0.000197 -0.000000 0.000001
2.371370 0.999326 0.001793 -0.000201 -0.000000 0.000001
2.398830 0.999308 0.001814 -0.000206 -0.000000 0.000001
2.426610 0.999294 0.001835 -0.000211 -0.000000 0.000001
2.454710 0.999276 0.001856 -0.000215 -0.000000 0.000002
2.483130 0.999258 0.001878 -0.000220 -0.000000 0.000002
2.511890 0.999244 0.001899 -0.000226 -0.000001 0.000002
2.540970 0.999226 0.001921 -0.000231 -0.000001 0.000002
2.570400 0.999207 0.001944 -0.000236 -0.000001 0.000002
2.600160 0.999189 0.001966 -0.000242 -0.000001 0.000002
2.630270 0.999171 0.001989 -0.000247 -0.000001 0.000002
2.660730 0.999152 0.002012 -0.000253 -0.000001 0.000002
2.691530 0.999129 0.002035 -0.000259 -0.000001 0.000002
2.722700 0.999111 0.002059 -0.000265 -0.000001 0.000002
2.754230 0.999088 0.002083 -0.000271 -0.000001 0.000002
2.786120 0.999070 0.002107 -0.000277 -0.000001 0.000003
2.818380 0.999047 0.002131 -0.000284 -0.000001 0.000003
2.851020 0.999024 0.002156 -0.000290 -0.000001 0.000003
2.884030 0.999001 0.002181 -0.000297 -0.000001 0.000003
2.917430 0.998978 0.002206 -0.000304 -0.000001 0.000003
2.951210 0.998955 0.002231 -0.000311 -0.000001 0.000003
2.985380 0.998932 0.002257 -0.000318 -0.000001 0.000003
3.019950 0.998909 0.002283 -0.000326 -0.000001 0.000004
3.054920 0.998882 0.002310 -0.000333 -0.000001 0.000004
3.090300 0.998854 0.002336 -0.000341 -0.000001 0.000004
3.126080 0.998832 0.002363 -0.000349 -0.000001 0.000004
3.162280 0.998804 0.002391 -0.000357 -0.000001 0.000004
3.198900 0.998777 0.002418 -0.000365 -0.000001 0.000004
3.235940 0.998749 0.002446 -0.000374 -0.000001 0.000005
3.273410 0.998717 0.002474 -0.000382 -0.000001 0.000005
3.311310 0.998690 0.002503 -0.000391 -0.000001 0.000005
3.349650 0.998657 0.002532 -0.000400 -0.000001 0.000005
3.388440 0.998625 0.002561 -0.000409 -0.000001 0.000006
3.427680 0.998593 0.002591 -0.000419 -0.000001 0.000006
3.467370 0.998561 0.002621 -0.000428 -0.000001 0.000006
3.507520 0.998529 0.002651 -0.000438 -0.000001 0.000006
3.548130 0.998497 0.002682 -0.000449 -0.000001 0.000007
3.589220 0.998460 0.002713 -0.000459 -0.000001 0.000007
3.630780 0.998428 0.002744 -0.000470 -0.000002 0.000007
3.672820 0.998392 0.002776 -0.000480 -0.000002 0.000008
3.715350 0.998355 0.002808 -0.000491 -0.000002 0.000008
3.758370 0.998314 0.002840 -0.000503 -0.000002 0.000009
3.801890 0.998277 0.002873 -0.000514 -0.000002 0.000009
3.845920 0.998236 0.002906 -0.000526 -0.000002 0.000009
3.890450 0.998195 0.002940 -0.000538 -0.000002 0.000010
3.935500 0.998153 0.002974 -0.000551 -0.000002 0.000010
3.981070 0.998112 0.003008 -0.000564 -0.000002 0.000011
4.027170 0.998071 0.003043 -0.000577 -0.000002 0.000011
4.073800 0.998025 0.003078 -0.000590 -0.000002 0.000012
4.120980 0.997979 0.003114 -0.000604 -0.000002 0.000012
4.168690 0.997933 0.003150 -0.000617 -0.000002 0.000013
4.216970 0.997888 0.003186 -0.000632 -0.000002 0.000013
4.265800 0.997837 0.003223 -0.000646 -0.000002 0.000014
4.315190 0.997787 0.003260 -0.000661 -0.000003 0.000015
4.365160 0.997736 0.003298 -0.000676 -0.000003 0.000015
4.415700 0.997686 0.003336 -0.000692 -0.000003 0.000016
4.466840 0.997631 0.003374 -0.000708 -0.000003 0.000017
4.518560 0.997581 0.003413 -0.000724 -0.000003 0.000018
4.570880 0.997526 0.003453 -0.000741 -0.000003 0.000018
4.623810 0.997466 0.003493 -0.000758 -0.000003 0.000019
4.677350 0.997411 0.003533 -0.000775 -0.000003 0.000020
4.731510 0.997352 0.003574 -0.000793 -0.000003 0.000021
4.786300 0.997292 0.003615 -0.000811 -0.000003 0.000022
4.841720 0.997228 0.003657 -0.000830 -0.000004 0.000023
4.897790 0.997164 0.003699 -0.000849 -0.000004 0.000024
4.954500 0.997099 0.003741 -0.000869 -0.000004 0.000025
5.011870 0.997035 0.003785 -0.000888 -0.000004 0.000027
5.069910 0.996967 0.003828 -0.000909 -0.000004 0.000028
5.128610 0.996898 0.003872 -0.000930 -0.000004 0.000029
5.188000 0.996829 0.003917 -0.000951 -0.000004 0.000030
5.248070 0.996756 0.003962 -0.000973 -0.000005 0.000032
5.308840 0.996683 0.004008 -0.000995 -0.000005 0.000033
5.370320 0.996609 0.004054 -0.001018 -0.000005 0.000035
5.432500 0.996531 0.004101 -0.001041 -0.000005 0.000036
5.495410 0.996453 0.004148 -0.001065 -0.000005 0.000038
5.559040 0.996371 0.004196 -0.001089 -0.000005 0.000040
5.623410 0.996288 0.004244 -0.001114 -0.000006 0.000042
5.688530 0.996206 0.004293 -0.001140 -0.000006 0.000044
5.754400 0.996119 0.004343 -0.001166 -0.000006 0.000046
5.821030 0.996032 0.004393 -0.001193 -0.000006 0.000048
5.888440 0.995945 0.004443 -0.001220 -0.000006 0.000050
5.956620 0.995853 0.004495 -0.001248 -0.000007 0.000052
6.025600 0.995762 0.004546 -0.001276 -0.000007 0.000055
6.095370 0.995665 0.004599 -0.001305 -0.000007 0.000057
6.165950 0.995569 0.004652 -0.001335 -0.000007 0.000060
6.237350 0.995468 0.004705 -0.001365 -0.000008 0.000063
6.309570 0.995367 0.004759 -0.001396 -0.000008 0.000066
6.382630 0.995262 0.004814 -0.001428 -0.000008 0.000069
6.456540 0.995157 0.004870 -0.001461 -0.000008 0.000072
6.531310 0.995047 0.004926 -0.001494 -0.000009 0.000075
6.606930 0.994937 0.004982 -0.001528 -0.000009 0.000079
6.683440 0.994827 0.005040 -0.001562 -0.000009 0.000082
6.760830 0.994712 0.005098 -0.001598 -0.000010 0.000086
6.839120 0.994593 0.005156 -0.001634 -0.000010 0.000090
6.918310 0.994474 0.005216 -0.001671 -0.000010 0.000094
6.998420 0.994350 0.005276 -0.001709 -0.000011 0.000098
7.079460 0.994226 0.005336 -0.001748 -0.000011 0.000103
7.161430 0.994098 0.005398 -0.001787 -0.000011 0.000108
7.244360 0.993965 0.005460 -0.001828 -0.000012 0.000112
7.328250 0.993832 0.005522 -0.001869 -0.000012 0.000118
7.413100 0.993695 0.005586 -0.001911 -0.000013 0.000123
7.498940 0.993557 0.005650 -0.001954 -0.000013 0.000129
7.585780 0.993415 0.005715 -0.001998 -0.000014 0.000134
7.673610 0.993273 0.005781 -0.002043 -0.000014 0.000141
7.762470 0.993122 0.005847 -0.002089 -0.000014 0.000147
