### header ###
fiducial parameters:
Omega_m = 0.31
Omega_nu = 0
Omega_de = 0.69
Omega_k = 0
H_0 = 100
w_de = -1
zeff = 0
beta = 0
fgrowth = 0
b_1 = 2
gamma = 0.55
Lx = 5000 Ly = 5000 Lz = 5000
nx = 600 ny = 600 nz = 600
xoffset = -982.047 yoffset = -47.9468 zoffset = 798.097
bins = 300 dk = 0.001
kx_ny = 0.376991 ky_ny = 0.376991 kz_ny = 0.376991
############################
A(data) = 8.9751 (not used)
A(ran) = 8.9771 (used)
Ngal = 435761
weighted Ngal = 467524
Nran = 22769125
weighted Nran = 2.27691e+07
SN(data) = 6136.32
SN(ran) = 126.024
SN(data+ran) = 6262.34
0.2475 0.247504 5210.88 111.489 1047.95 -24.6144 548.712 619.676 193485
0.2485 0.248502 5217.61 19.9745 1011.44 106.981 515.305 616.975 195193
0.2495 0.249501 5221.26 89.2435 1020.67 0.155781 445.511 613.599 197352
0.2505 0.250501 5111.37 124.659 946.806 -0.418849 564.557 611.475 198565
0.2515 0.251503 5115.65 16.4211 907.269 159.247 581.083 607.874 200931
0.2525 0.252505 5183.73 47.1495 805.586 133.273 381.335 606.383 202021
0.2535 0.253503 5134.48 95.6038 758.941 -91.4985 479.87 605.498 202539
0.2545 0.2545 5088.27 98.2415 667.845 22.9788 546.149 601.53 205150
0.2555 0.255502 5079.44 29.5974 577.258 181.503 558.723 598.717 207069
0.2565 0.256505 5087.99 80.4965 533.535 149.182 420.472 595.811 209107
0.2575 0.257505 5009.46 141.23 486.786 -157.866 448.237 595.414 209265
0.2585 0.2585 4883.62 155.241 605.681 -163.526 498.758 593.601 210351
0.2595 0.259497 4857.2 75.0957 627.838 2.18511 389.789 589.412 213310
0.2605 0.2605 4846.97 42.792 594.449 34.344 168.15 585.932 215835
0.2615 0.261505 4849.56 110.838 639.475 -104.116 166.661 583.577 217585
0.2625 0.262502 4781.56 98.2324 610.524 -92.9788 230.597 585.906 215751
0.2635 0.263497 4772.1 80.127 628.663 13.3195 140.088 579.714 220369
0.2645 0.264502 4717.5 95.4811 655.495 -23.3059 251.433 576.181 222990
0.2655 0.265502 4696.6 111.1 607.382 25.3575 296.102 577.583 221875
0.2665 0.266499 4642.7 52.9277 602.636 37.0879 449.91 573.846 224685
0.2675 0.267501 4646.53 63.567 562.537 44.7759 411.902 570.199 227575
0.2685 0.268502 4679.23 54.974 573.784 -2.4149 417.616 569.5 228189
0.2695 0.269502 4670.64 103.357 592.848 -25.7982 383.935 567.521 229768
0.2705 0.270502 4608.57 138.914 597.135 -84.4608 429.303 564.606 232041
0.2715 0.271501 4560.42 52.1831 675.617 -40.3657 383.433 564.331 232185
0.2725 0.2725 4499.22 131.454 653.776 -63.1672 339.27 559.299 236275
0.2735 0.273502 4454.11 64.4968 671.114 25.9361 447.189 558.906 236529
0.2745 0.274501 4491.3 28.3207 583.52 124.295 362.699 556.412 238720
0.2755 0.275501 4520.86 72.7934 537.114 31.1812 245.614 555.059 239937
0.2765 0.276499 4482.1 98.9124 453.016 -88.0974 322.937 553.256 241435
0.2775 0.277497 4422.63 124.951 499.526 -26.7691 368.184 550.851 243441
0.2785 0.278499 4405.34 20.1692 501.735 128.064 323.811 547.175 246691
0.2795 0.279499 4403.51 103.189 421.595 87.668 294.924 547.506 246390
0.2805 0.280499 4383.01 60.155 371.86 34.4228 357.582 543.201 250273
0.2815 0.281503 4384.41 49.8505 355.272 21.1076 408.092 541.943 251439
0.2825 0.282503 4414.59 75.9743 312.012 32.1399 407.264 541.179 252205
0.2835 0.2835 4398 78.3323 266.697 -31.1683 417.621 539.555 253695
0.2845 0.2845 4383.99 117.235 354.688 -96.3803 352.126 535.799 257238
0.2855 0.285502 4312.82 61.034 339.107 38.228 414.498 535.158 257719
0.2865 0.2865 4378.16 40.1895 322.202 53.4073 389.842 533.833 259125
0.2875 0.287498 4408.36 36.0224 273.353 46.0597 344.85 531.323 261637
0.2885 0.288501 4408.99 116.968 246.39 -60.3308 313.369 527.707 265236
0.2895 0.289501 4329.21 130.339 295.171 -99.3542 383.252 529.158 263629
0.2905 0.290499 4304.89 69.7965 312.254 -34.0015 308.244 524.696 268083
0.2915 0.291503 4275.97 74.4873 314.368 70.6555 292.195 522.576 270205
0.2925 0.292502 4253.99 70.6235 209.657 20.0594 390.644 523.58 269127
0.2935 0.293498 4244.71 86.6372 191.203 54.4989 388.513 520.477 272326
0.2945 0.294499 4236.06 97.9745 160.015 -36.9658 376.524 517.489 275463
