# s W_0 W_1 W_2 W_3 W_4 W_5 W_6 W_7 W_8
4.954830 1.014230 0.005011 0.024269 0.000099 0.004736 0.000300 0.054420 -0.002843 0.401720
5.070240 0.980308 0.005003 0.005604 -0.000135 0.036967 -0.000469 0.643249 0.006713 -0.027857
5.188340 1.011956 0.005287 -0.015365 -0.000266 0.057918 0.002829 0.416000 0.000947 0.252165
5.309200 1.026377 0.005490 -0.026427 -0.000086 -0.009003 -0.002131 0.104186 -0.004237 0.634758
5.432860 1.014698 0.005564 -0.025839 -0.000300 0.024755 0.001633 0.129499 0.002665 -0.082807
5.559410 1.004418 0.005594 0.014549 0.000036 -0.003770 0.005582 -0.824290 -0.008922 -0.098822
5.688910 1.014205 0.005746 0.022844 0.000086 0.021316 0.004183 -0.253869 -0.004927 0.158435
5.821420 1.005777 0.005860 0.019610 0.000184 -0.010893 -0.000060 -0.037259 -0.003746 0.153836
5.957020 0.995982 0.005952 -0.003154 0.000012 -0.005404 0.002088 -0.411528 -0.004383 0.074274
6.095770 1.011194 0.006169 0.024935 0.000289 -0.034416 -0.004038 0.056714 0.002880 0.057259
6.237760 0.999116 0.006185 0.052002 0.000431 -0.011942 0.000352 -0.036742 -0.003990 0.207807
6.383060 0.991309 0.006321 0.033747 -0.000018 0.060156 0.005455 -0.052336 -0.000706 0.109988
6.531740 0.994575 0.006518 0.018403 -0.000003 0.017090 -0.000773 0.330640 0.000736 0.260029
6.683880 1.005272 0.006761 -0.014688 0.000121 -0.047290 -0.003360 -0.157001 0.000734 -0.351883
6.839570 0.980069 0.006752 -0.009953 0.000011 -0.014092 -0.003123 0.127381 0.000246 0.168227
6.998880 0.988270 0.006949 0.006856 0.000223 -0.028192 -0.004950 0.251587 -0.000511 0.230310
7.161910 0.995109 0.007146 -0.007073 -0.000229 0.033548 0.000832 0.387123 0.004271 0.040147
7.328730 0.997087 0.007330 0.003580 0.000079 -0.009822 -0.002870 0.141679 0.002363 0.005372
7.499440 0.991397 0.007485 -0.017147 -0.000194 0.002209 -0.002253 0.339612 0.003290 0.172652
7.674120 0.996970 0.007680 -0.010976 -0.000026 0.000061 -0.003417 0.345406 0.003566 0.160624
7.852880 0.995912 0.007888 -0.017579 -0.000192 0.008989 -0.000130 0.062310 -0.004241 0.464555
8.035790 0.992601 0.007978 0.016728 0.000230 -0.006621 -0.000515 -0.006497 -0.000772 0.032983
8.222970 1.000554 0.008225 0.014532 0.000059 0.014743 -0.001484 0.282584 0.003863 0.160804
8.414510 0.993115 0.008370 0.007489 -0.000118 0.032190 0.003787 -0.023259 -0.000228 0.019883
8.610510 0.987384 0.008558 -0.009080 -0.000128 0.007920 0.004231 -0.281190 -0.006551 0.047667
8.811070 1.000027 0.008846 -0.002675 -0.000200 0.040976 0.005885 -0.093300 0.000637 -0.122690
9.016310 0.997711 0.009020 0.005538 0.000016 0.011527 0.001089 -0.023320 -0.000112 -0.004501
9.226330 1.000267 0.009261 0.002845 0.000105 -0.000892 -0.002369 0.127160 0.001821 0.077275
9.441230 0.987452 0.009334 0.011288 0.000147 -0.001207 0.001447 -0.162829 -0.003580 0.016259
9.661150 0.987719 0.009582 -0.009958 -0.000106 0.006220 0.003225 -0.156271 -0.010272 0.346421
9.886190 0.986402 0.009795 -0.006005 -0.000299 0.033424 0.007724 -0.209983 -0.004675 -0.034085
10.116500 0.988990 0.010021 0.008359 0.000102 0.001324 0.002734 -0.215847 -0.005942 0.096998
10.352100 0.989985 0.010287 -0.000622 -0.000153 0.023519 0.004280 -0.080926 -0.002904 0.045776
10.593200 0.989920 0.010541 -0.009817 -0.000057 -0.008446 0.000591 -0.085746 -0.008881 0.323619
10.840000 0.986693 0.010728 -0.000970 -0.000055 0.014562 0.000980 0.135610 0.001410 0.096276
11.092500 0.995887 0.011051 0.009074 0.000067 0.011633 0.000865 0.062879 -0.001185 0.136852
11.350900 0.981828 0.011206 -0.007605 -0.000203 0.015144 0.001290 0.050717 -0.005374 0.338616
11.615300 0.984399 0.011475 -0.006254 -0.000067 0.001969 0.002269 -0.094404 -0.003140 0.000547
11.885800 0.982688 0.011734 -0.000587 -0.000050 0.008864 0.001239 -0.013353 -0.001399 0.076267
12.162700 0.989036 0.012080 0.000354 -0.000005 0.004212 0.001981 -0.109227 -0.003109 0.021517
12.446000 0.986847 0.012316 -0.003948 -0.000125 0.018422 0.002473 -0.011548 -0.000409 0.024219
12.735900 0.987552 0.012633 -0.004863 -0.000125 0.006909 0.004180 -0.171049 -0.006578 0.061253
13.032500 0.980859 0.012829 0.002565 -0.000113 0.017873 0.003435 0.000458 0.001476 -0.054747
13.336100 0.987525 0.013211 -0.001393 0.000027 -0.002476 -0.000262 -0.019323 -0.000123 0.024415
13.646700 0.981816 0.013449 -0.000783 -0.000041 0.004604 -0.000922 0.100216 0.002519 0.060824
13.964600 0.981218 0.013779 -0.011407 -0.000232 0.009440 0.003522 -0.106444 -0.002775 -0.033996
14.289900 0.986704 0.014165 -0.001736 0.000065 -0.004384 -0.001075 -0.011986 -0.001788 0.063826
14.622700 0.985320 0.014485 -0.004855 -0.000197 0.012137 0.003489 -0.053557 -0.003869 0.096962
14.963300 0.978254 0.014698 -0.003384 -0.000055 0.004603 -0.000728 0.099484 -0.002394 0.186903
15.311900 0.982321 0.015113 -0.006832 -0.000165 0.006737 0.000487 0.061491 0.000277 0.059488
15.668500 0.974822 0.015367 -0.013247 -0.000256 0.003318 0.000517 0.027191 -0.000628 0.074497
